Type,MeanIncomeAHC_2012,MeanIncomeAHC_2014,MeanIncomeAHC_2016,MeanIncomeAHC_2018
London,31252.30604317718,30275.72572452813,31939.639034493426,32526.58775193235
Medium Town,24730.021582118483,26336.94041676346,27646.322125292987,27115.20148138411
None,26459.87412263815,27567.626081758757,29134.20138835368,28391.0412553028
Village,26898.334581280888,28133.197536945867,29888.574429707398,29102.524183402733
Small Town,24571.13056560189,26171.443898451882,27447.963980905966,27068.941816143873
Large Town,24416.369654020215,25709.64438128176,26623.834020481827,26726.366256912035
Core City (outside London),20407.64960262347,21146.317408855943,21506.967427778854,22451.95922164781
